ax1,ay1,az1
-1.84691,-8.09432,-3.12849
-2.03616,-7.84998,-3.38002
-2.04095,-8.02246,-3.1261
-1.30554,-8.33147,-2.60389
-0.10061,-8.41771,-2.77396
-0.119774,-8.82015,-2.44818
1.2169,-9.20103,-1.75109
2.74761,-9.16031,-1.44926
3.36804,-9.25852,-1.29595
4.94427,-8.54946,-1.28398
5.42815,-7.02115,-1.19295
6.7816,-6.73848,0.371299
8.12307,-5.50002,0.182056
8.48479,-4.97541,-0.208407
9.69211,-4.49631,0.682711
10.7677,-4.40528,0.756971
11.6612,-4.65681,1.14983
11.4336,-4.69274,1.42052
10.5305,-4.14897,1.24086
10.5353,-3.9717,1.92596
10.1065,-3.83277,1.93555
9.51963,-3.98368,2.26133
8.92555,-3.45188,2.11042
8.97586,-3.22671,2.7021
9.41902,-3.31295,2.98716
10.1664,-2.65179,2.50088
11.1773,-2.21103,2.37631
11.4839,-1.51873,2.0146
11.7187,-1.51155,1.91878
11.9942,-1.29356,1.91399
11.7858,-0.85279,1.28877
12.0876,-0.94861,0.869559
12.1906,-1.69839,0.596474
11.4504,-1.68642,-0.0239548
10.3197,-1.66486,-0.330576
9.45495,-1.68402,-0.541378
9.14833,-2.46495,-0.529401
7.95059,-3.16203,-0.0359322
7.27986,-4.86522,2.6494
7.49545,-5.60302,2.93686
8.66924,-6.1971,3.31534
9.75678,-7.10259,3.14526
8.92555,-5.94797,0.812067
9.78313,-5.39941,0.0886327
9.6442,-4.36696,-0.55096
9.59868,-3.96691,-1.07317
9.65617,-4.12262,-2.20863
9.97956,-3.88786,-2.51286
9.86937,-4.46996,-3.11412
9.5915,-4.84366,-3.08298
8.80099,-5.28443,-3.30576
8.53749,-5.59823,-4.22323
8.22368,-6.02942,-4.1873
7.39484,-5.71801,-5.19579
6.21387,-5.47127,-5.39462
5.43055,-5.191,-5.3515
4.17532,-4.88199,-5.98391
2.77876,-4.49871,-6.49893
1.31751,-4.40528,-5.90965
-0.153311,-4.52266,-5.5623
-1.70798,-4.83168,-4.54901
-3.04465,-4.64723,-3.97889
-4.38133,-4.93229,-3.93577
