gx1,gy1,gz1
0.00113151,-0.000798781,-3.99478e-05
-0.00153165,0.00133175,-0.00270311
0.000598877,-0.00133141,-0.00536627
-0.000466386,0.000266482,-0.00323574
6.62454e-05,0.000266482,-0.00323574
6.62454e-05,0.000799114,-0.00057258
6.62454e-05,0.000799114,0.00155795
0.0043273,-0.00399457,0.00368847
-0.000466386,0.000799114,-0.00057258
0.00113151,-0.00239668,-0.00217047
0.00219677,-0.00133141,0.00102532
-0.000466386,0.00346227,0.00315584
-0.00206428,-0.00239668,0.00368847
0.00219677,-0.00346194,0.00102532
-0.00153165,-0.00186404,-0.00270311
6.62454e-05,-0.00346194,-0.00057258
0.000598877,0.00186438,0.00102532
0.0027294,-0.000798781,0.00368847
0.00379467,-0.000266149,0.00315584
0.00166414,-0.00133141,-0.004301
-0.00419481,-0.00399457,0.00102532
0.000598877,-0.000798781,-0.00323574
0.0027294,-0.00292931,0.00102532
0.00166414,-0.00133141,0.00155795
6.62454e-05,-0.00133141,0.000492684
0.00219677,0.00239701,-0.00163784
0.000598877,0.00239701,-0.00057258
-0.000999018,-0.00346194,-0.00057258
0.0027294,-0.00186404,-0.00163784
0.00379467,-0.0045272,0.00155795
-0.00366218,-0.000266149,0.000492684
0.0027294,0.000799114,0.00209058
-0.000999018,-0.00186404,-0.00057258
0.00113151,-0.00133141,-0.00110521
6.62454e-05,-0.00239668,-3.99478e-05
0.0027294,0.000799114,-0.00163784
0.00166414,-0.00292931,-0.00376837
-0.000999018,-0.00825563,-0.00270311
0.00166414,0.000266482,-0.00057258
0.0027294,-0.000266149,0.00102532
6.62454e-05,-0.00559247,0.00155795
6.62454e-05,-0.00133141,-0.00217047
-0.00259691,-0.0045272,-0.00110521
-0.000999018,-0.00133141,-3.99478e-05
-0.00366218,-0.00292931,-0.00110521
-0.00419481,0.00292964,-0.00217047
-0.00259691,0.00186438,-3.99478e-05
0.00219677,-0.00239668,-0.00110521
-0.00259691,-0.00239668,0.00102532
0.00326204,-0.00133141,-0.00483363
-0.00153165,-0.000266149,-3.99478e-05
6.62454e-05,0.000799114,-0.00376837
-0.000466386,0.000266482,-0.00270311
0.00113151,0.000266482,0.00102532
6.62454e-05,-0.00133141,-0.00483363
0.00326204,-0.00346194,0.00102532
0.0027294,-0.00133141,-0.00057258
-0.00259691,-0.00186404,0.000492684
-0.000999018,0.00506017,0.00368847
-0.00259691,0.000266482,0.00209058
-0.000999018,0.000799114,-0.00110521
0.000598877,-0.00186404,-0.00163784
-0.00206428,0.000799114,0.00209058
-0.00259691,-0.00559247,-0.00536627
0.00166414,0.00133175,-3.99478e-05
6.62454e-05,-0.000266149,-0.004301
-0.00153165,-0.00559247,0.00155795
-0.00366218,0.00133175,0.000492684
-0.00259691,-0.00346194,-0.00323574
0.00113151,-0.000798781,-0.00057258
-0.00259691,-0.000798781,-0.00376837
-0.00206428,-0.00505984,-0.00376837
-0.00153165,-0.000266149,-0.00536627
0.00219677,-0.00239668,0.005819
0.00113151,-0.00239668,-0.00270311
0.00326204,-0.00399457,0.00262321
-0.00206428,0.00292964,0.00794953
0.00592519,0.00612543,0.00475374
0.00379467,0.0173107,0.0111453
-0.00259691,0.00985385,0.0074169
0.0043273,0.00665806,0.00209058
0.00166414,0.00612543,0.00688427
0.000598877,0.0055928,-0.00057258
-0.000999018,-0.000798781,-0.0117578
-0.00153165,-0.00399457,-0.00270311
6.62454e-05,-0.0130493,-0.00856206
0.00166414,-0.0300935,-0.0133557
-0.000999018,0.00452754,-0.00163784
0.00219677,-0.0045272,0.00155795
-0.00366218,-0.027963,-0.0149536
-0.00312955,-0.00932089,-0.0106926
-0.000466386,0.00506017,0.00262321
-0.000999018,-0.0258325,-0.0197473
0.00752309,-0.00878826,-0.0138884
-0.000466386,-0.0114514,-0.00483363
-0.00366218,-0.00878826,-0.00323574
-0.00472744,0.012517,0.0074169
0.00166414,-0.00186404,-0.00376837
-0.00312955,-0.0183756,-0.0117578
0.00539256,0.0071907,0.00315584
-0.000466386,-0.00346194,-0.0112252
-0.00206428,0.0039949,0.0100801
-0.00206428,0.00133175,0.00368847
0.00113151,-0.011984,-0.01016
-0.00153165,0.0114517,0.00794953
0.00592519,0.00932122,0.0127432
6.62454e-05,-0.00346194,0.00262321
-0.00206428,0.0109191,0.00635163
-0.000999018,0.00612543,0.00155795
0.0027294,0.00133175,0.00102532
6.62454e-05,-0.00346194,-0.00217047
-0.00366218,-0.0061251,-3.99478e-05
-0.000466386,-0.00346194,0.00102532
6.62454e-05,-0.000266149,-3.99478e-05
-0.000999018,-0.00399457,-0.00323574
0.00379467,-0.0103862,-0.00856206
0.00166414,0.000799114,0.000492684
-0.00206428,-0.00825563,-0.004301
0.000598877,-0.00186404,-0.00057258
-0.00153165,0.00292964,0.000492684
0.0027294,0.00239701,0.00102532
6.62454e-05,0.00186438,0.00368847
0.00113151,0.00985385,0.00475374
0.00326204,-0.00985352,-0.00057258
-0.00312955,-0.00133141,-0.00057258
0.00326204,0.00452754,0.00368847
-0.000466386,-0.000266149,0.000492684
0.00379467,0.00133175,0.00635163
0.00113151,-0.00133141,-0.00110521
0.0027294,-0.00399457,-0.00483363
0.0139147,0.00239701,0.00209058
0.0549273,0.0162454,0.00475374
0.127365,0.0247675,0.0148737
0.133224,0.0071907,-0.00323574
0.132159,0.0348875,0.00368847
0.150268,0.100934,-0.00270311
0.101799,0.323041,0.00315584
0.0975379,0.595216,0.011678
0.170508,0.810932,0.00262321
0.359593,1.03304,0.0175369
0.329765,0.981374,-0.00802942
0.29834,0.509995,-0.0996421
0.163584,0.0332897,0.0777243
-0.129896,-0.339553,0.327529
-0.488357,-0.51106,0.471339
-0.774913,-0.451938,0.439914
-1.04602,-0.297475,0.512352
-1.23617,-0.42211,0.656162
-1.33631,-0.614923,0.788255
-1.51048,-0.457797,0.794647
-1.62073,-0.179763,0.678533
-1.78105,-0.149936,0.679066
-1.91208,-0.0311588,0.768015
-1.9206,0.0950749,0.825539
-1.95469,0.0764328,0.844181
-1.95256,0.0743023,0.697175
-1.8764,0.0972055,0.606095
-1.67879,0.0982707,0.40476
-1.5728,0.156328,0.20023
-1.55149,0.252201,0.228992
-1.45242,0.22557,0.310484
-1.28837,0.192547,0.495308
-1.16054,0.246342,0.503297
-1.06733,0.287355,0.377596
-0.865993,0.278833,0.236981
-0.688627,0.184557,0.211947
-0.543751,0.112119,0.0729306
-0.468117,0.0391486,0.00528637
-0.420713,0.102532,-0.0341284
-0.375972,-0.0604535,0.148564
-0.359993,-0.0572577,0.194371
-0.32697,-0.165382,0.138977
-0.354667,-0.274039,0.118204
-0.329633,-0.151534,0.0436359
-0.246542,-0.13875,0.113411
-0.216182,0.0231696,0.233785
-0.192746,-0.0210388,0.26308
-0.198073,-0.234091,0.363215
-0.151201,-0.247407,0.415413
-0.128298,-0.515321,0.369606
-0.0713064,-0.799746,0.390912
0.206195,-0.896685,0.492112
0.584363,-1.3393,0.78719
0.797416,-1.9742,0.966154
0.753208,-2.15849,0.953371
0.840027,-2.75504,0.641781
1.01899,-3.16516,0.305691
1.08877,-3.33774,0.202893
1.1905,-3.81657,0.179457
1.38438,-4.02643,0.3744
1.27146,-3.90605,0.41488
1.43072,-3.50019,0.59704
1.42965,-3.10924,0.75896
1.21713,-2.47114,0.557626
0.978511,-2.05729,0.471872
0.638692,-1.41653,0.307289
0.459195,-0.819454,0.136314
0.424041,-0.45034,0.176261
0.455466,0.00665806,-0.144916
0.379833,0.248473,-0.381937
0.225902,0.679905,-0.476213
-0.0100538,1.35741,-0.626415
0.0794284,1.718,-0.499116
0.10819,2.05623,-0.319619
-0.276902,3.18114,-0.395785
-0.137885,3.5673,-0.184863
-0.0798285,3.74733,-0.145981
-0.4303,4.16012,-0.29352
-0.536827,3.99554,-0.421884
-0.783435,4.42218,-1.03175
-0.805806,4.46319,-1.52177
-0.74189,4.24907,-1.39394
-0.654538,3.68395,-1.30446
-0.206062,3.43521,-0.940135
0.123104,2.9846,-0.466093
0.133224,2.23785,-0.357436
-0.0073906,1.522,-0.132665
0.156127,1.13051,-0.213625
0.527904,0.652208,-0.583804
0.710597,0.0998686,-0.804847
0.744153,-0.184024,-0.940135
0.941759,-0.334226,-0.94919
1.07705,-0.513723,-1.14573
1.18464,-0.60214,-1.12709
1.32099,-0.823715,-0.94919
1.50049,-1.14489,-0.727082
1.70182,-1.49377,-0.700451
1.84617,-1.92413,-0.871958
2.06987,-2.04717,-0.736137
2.36921,-2.05569,-0.459169
2.75217,-2.55956,-0.443722
2.92262,-2.92388,-0.409101
2.21688,-2.7854,-0.386198
1.84244,-2.42214,-0.0335957
1.71301,-1.97953,0.173598
1.68052,-1.7473,0.537918
0.777176,-1.43464,0.276396
-0.54162,-0.941427,-0.315358
-0.874515,-0.335824,0.0143411
-0.65081,0.0258328,0.919282
-1.50462,0.616521,1.74646
-2.42927,0.623446,2.18854
-2.71103,0.628772,2.53955
-2.3041,1.04742,3.06259
-2.30303,1.26633,3.28097
-2.37973,1.17259,3.4839
-2.11342,0.74169,3.62985
-1.81248,0.726776,3.84663
-1.5664,0.730505,3.89723
-1.33844,0.512658,3.67512
-1.27079,0.3289,3.22718
-1.18504,-0.0508662,2.85114
-1.19356,-0.367782,2.48842
-0.850547,-0.458862,1.94513
-0.548544,-0.65274,1.58241
-0.272109,-0.864195,1.59679
0.202466,-0.66073,1.58134
0.556134,-0.568584,1.45777
0.438955,-0.271376,0.91076
0.341483,0.251136,0.472937
0.795286,1.42559,0.135249
1.6198,2.30816,-0.0522379
1.85948,2.48446,-0.620556
1.65336,2.9388,-1.23734
1.93139,3.02189,-1.58941
2.18332,2.65331,-2.16679
2.15882,2.1798,-2.27331
2.02034,1.43358,-2.6339
1.97027,0.476439,-2.64615
1.84936,-0.707601,-2.49862
1.85629,-1.58005,-2.48903
1.8989,-1.85596,-1.78276
1.95909,-2.74012,-1.26877
2.06508,-3.67862,-0.816032
1.98465,-4.41206,-1.05625
1.60276,-5.22698,-1.50526
1.02006,-5.87999,-1.93775
0.722315,-5.02831,-2.25147
0.996088,-4.39181,-2.19768
0.49062,-3.30738,-2.60354
-0.219911,-2.19364,-2.55774
-0.0830243,-1.01813,-2.01552
0.189151,0.283094,-0.956114
-0.143744,1.14116,0.0947685
-0.493151,1.74836,0.903304
-0.765326,2.38592,1.38693
-1.33577,3.78781,1.56377
-1.55415,4.99156,1.87429
-0.945355,4.69328,2.86552
-1.1877,4.43975,2.92517
-1.14722,3.71218,3.11
-1.26547,3.09805,3.18137
-1.35814,2.51269,3.3092
-1.36134,1.93425,3.51267
-1.35282,1.43731,3.43597
-1.47905,0.781105,3.17924
-1.56481,0.161654,2.92304
-1.50036,-0.504136,2.59601
-1.39969,-1.11986,2.29614
-1.48118,-1.57899,1.80931
-1.70382,-2.15636,1.29426
-2.0985,-2.66289,0.613019
-2.37334,-2.76409,0.560821
-2.62687,-2.76729,1.05617
-2.37973,-2.54891,1.72356
-1.71128,-1.9007,2.08841
-1.07851,-1.34197,1.82476
-0.438822,-0.332096,0.793581
0.352136,0.554736,-0.081
0.968923,1.00854,-0.598718
1.45042,1.66261,-0.841598
2.1242,2.32414,-1.33322
2.42035,3.21683,-2.01073
2.17853,3.89807,-2.51033
2.16149,4.40833,-3.07705
2.22434,4.93989,-3.25921
2.43792,4.02909,-2.9652
2.36761,2.83653,-2.19075
2.39797,0.93397,-2.13909
1.90263,-0.370445,-2.31113
1.83498,-1.36327,-2.20247
